emp_no,first_name,last_name,title,from_date,salary
72587,Krister,Angel,Staff,7/26/1985,77778
72598,Bogdan,Vural,Engineer,11/12/1985,45158
72598,Bogdan,Vural,Senior Engineer,11/12/1990,45158
72617,Naraig,Worfolk,Senior Staff,11/16/1987,40000
72625,Moti,Nyanchama,Engineer,1/20/1997,48362
72627,Apostol,Conry,Engineer,1/8/1999,51665
72634,Xuedong,Thiran,Senior Staff,12/23/1996,43347
72634,Xuedong,Thiran,Staff,12/24/1987,43347
72639,Jiang,Angel,Senior Staff,9/27/1994,42552
72639,Jiang,Angel,Staff,9/27/1988,42552
72646,Elgin,Tchuente,Assistant Engineer,2/20/1988,50608
72646,Elgin,Tchuente,Engineer,2/20/1996,50608
72661,Dinah,Baja,Senior Staff,10/22/1992,52915
72661,Dinah,Baja,Staff,10/23/1986,52915
72683,Tristan,Frolund,Engineer,9/21/1990,40000
72683,Tristan,Frolund,Senior Engineer,9/21/1995,40000
72686,Radoslaw,Marakhovsky,Senior Engineer,7/12/1985,40711
72723,Arve,Danlos,Senior Staff,6/14/1999,79591
72725,Jayesh,Felder,Senior Engineer,6/24/1988,61650
72739,Constantino,Sinicrope,Engineer,5/20/1988,40000
72739,Constantino,Sinicrope,Senior Engineer,5/21/1995,40000
72740,Heather,Greenaway,Senior Staff,4/7/1991,54802
72740,Heather,Greenaway,Staff,4/7/1985,54802
72741,Ulises,Range,Staff,5/18/1997,46867
72745,Tayeb,Vernadat,Senior Engineer,7/8/1987,40536
72752,Kensyu,Gente,Senior Engineer,5/15/1991,69936
72761,Arto,Schlegelmilch,Senior Staff,1/5/1994,89178
72761,Arto,Schlegelmilch,Staff,1/5/1986,89178
72768,Sajjad,Kolvik,Engineer,6/4/1998,40000
72794,Kazuhisa,Awdeh,Senior Staff,11/29/1987,66449
72797,Dmitry,Luders,Senior Staff,6/4/1985,71156
72799,Akeel,Usdin,Senior Engineer,6/3/1988,54368
72826,Pranas,Kuhnemann,Engineer,8/10/1987,55916
72826,Pranas,Kuhnemann,Senior Engineer,8/10/1995,55916
72836,Sadun,Baez,Senior Staff,10/8/1993,47344
72836,Sadun,Baez,Staff,10/9/1987,47344
72861,Chirstian,Pramanik,Engineer,12/26/1986,40000
72861,Chirstian,Pramanik,Senior Engineer,12/25/1992,40000
72863,Mohd,Kavvadias,Senior Staff,10/17/1990,50670
72863,Mohd,Kavvadias,Staff,10/17/1985,50670
72864,Moie,McConalogue,Engineer,4/18/1991,40000
72864,Moie,McConalogue,Senior Engineer,4/17/1996,40000
72866,Sverrir,Zumaque,Senior Staff,11/19/1995,79179
72885,Yinghua,Coullard,Technique Leader,3/17/1987,54456
72891,Florina,Heusch,Senior Engineer,1/11/1994,40000
72897,Faiza,Leslie,Engineer,11/13/1987,46015
72897,Faiza,Leslie,Senior Engineer,11/12/1996,46015
72898,Thanasis,Gurbaxani,Senior Staff,11/12/1994,74007
72907,Alejandra,Weisert,Staff,11/20/1999,40000
72916,Arun,Kitsuregawa,Staff,9/28/1999,53222
72917,Paris,Swan,Senior Staff,1/5/1989,44500
72920,Dekang,Radivojevic,Senior Staff,12/16/1999,83480
72920,Dekang,Radivojevic,Staff,12/16/1994,83480
72922,Kristian,DasSarma,Senior Staff,9/28/2001,73729
72922,Kristian,DasSarma,Staff,9/28/1993,73729
72923,Zhenbing,Decaestecker,Assistant Engineer,5/1/1985,40000
72923,Zhenbing,Decaestecker,Engineer,5/1/1991,40000
72923,Zhenbing,Decaestecker,Senior Engineer,4/30/1997,40000
72928,Xiahua,Rosay,Senior Staff,4/21/1998,48666
72928,Xiahua,Rosay,Staff,4/21/1989,48666
72943,Collette,Angot,Senior Staff,3/7/1995,65449
72943,Collette,Angot,Staff,3/7/1987,65449
72959,Rosita,Wynblatt,Senior Staff,6/15/1997,40000
72959,Rosita,Wynblatt,Staff,6/15/1989,40000
72963,Hugh,Butner,Assistant Engineer,12/7/1986,46569
72963,Hugh,Butner,Engineer,12/7/1994,46569
72967,Menkae,Brobst,Staff,1/21/1997,83228
72969,Xinan,Setia,Staff,9/22/1999,78665
72977,Shahid,Servi,Staff,1/17/1997,63794
72981,Chanjung,Imataki,Senior Staff,1/15/1993,85699
72981,Chanjung,Imataki,Staff,1/16/1988,85699
72986,Nikolaos,Worfolk,Engineer,7/11/1987,40000
72986,Nikolaos,Worfolk,Senior Engineer,7/10/1996,40000
72996,Petter,Castellani,Engineer,6/4/1988,40000
72996,Petter,Castellani,Senior Engineer,6/4/1996,40000
73004,Mitchel,Ballarin,Senior Engineer,6/13/1988,61260
73005,Sachem,Compeau,Technique Leader,6/12/1990,50521
73011,Zdislav,Kaiserswerth,Engineer,9/12/1989,40000
73011,Zdislav,Kaiserswerth,Senior Engineer,9/12/1997,40000
73017,Adel,Iisaka,Assistant Engineer,1/2/1996,59529
73017,Adel,Iisaka,Engineer,1/1/2002,59529
73035,Kensyu,Cummings,Senior Staff,11/10/1995,78429
73036,Syozo,Koyama,Senior Staff,11/23/1993,90889
73036,Syozo,Koyama,Staff,11/23/1986,90889
73063,Nigel,Highland,Senior Staff,5/31/1988,40000
73072,Vitali,Zwicker,Assistant Engineer,5/18/1989,45592
73072,Vitali,Zwicker,Engineer,5/18/1994,45592
73072,Vitali,Zwicker,Senior Engineer,5/18/1999,45592
73082,Ioana,Sadowski,Engineer,1/3/1988,60366
73082,Ioana,Sadowski,Senior Engineer,1/2/1994,60366
73090,Yoshinari,Takkinen,Senior Staff,3/27/1994,48393
73090,Yoshinari,Takkinen,Staff,3/27/1985,48393
73099,Percy,Strandh,Assistant Engineer,12/22/1989,40000
73099,Percy,Strandh,Engineer,12/22/1994,40000
73099,Percy,Strandh,Senior Engineer,12/22/1999,40000
73104,Mooi,Bressoud,Engineer,9/24/1988,40000
73104,Mooi,Bressoud,Senior Engineer,9/24/1994,40000
73109,Divine,Pusterhofer,Engineer,8/15/1987,40000
73109,Divine,Pusterhofer,Senior Engineer,8/14/1993,40000
73110,Gift,Osgood,Technique Leader,7/12/1987,56048
73111,Ottavia,Massonet,Technique Leader,6/8/1985,43571
73119,Miyeon,Kavraki,Senior Engineer,5/18/1988,49013
73137,Manohar,Lortz,Senior Engineer,5/28/1992,68030
73142,Gretta,VanScheik,Senior Engineer,12/23/1988,58376
73143,Sreekrishna,Cincotta,Assistant Engineer,4/22/1991,40000
73143,Sreekrishna,Cincotta,Engineer,4/22/1999,40000
73161,Haldon,Denos,Assistant Engineer,8/9/1985,52403
73161,Haldon,Denos,Engineer,8/9/1992,52403
73161,Haldon,Denos,Senior Engineer,8/10/1999,52403
73194,Perry,Castellani,Senior Staff,5/17/1995,46686
73194,Perry,Castellani,Staff,5/16/1988,46686
73207,Kyoichi,Domenig,Technique Leader,11/15/1987,40000
73208,Yuguang,Menhardt,Senior Staff,5/19/1996,45903
73208,Yuguang,Menhardt,Staff,5/19/1988,45903
73212,Niclas,Maraist,Senior Staff,3/20/1999,40000
73220,Mokhtar,Serre,Senior Staff,5/4/1992,40000
73220,Mokhtar,Serre,Staff,5/4/1985,40000
73222,Kendra,Gurbaxani,Assistant Engineer,2/22/1985,40000
73222,Kendra,Gurbaxani,Engineer,2/22/1991,40000
73222,Kendra,Gurbaxani,Senior Engineer,2/21/1997,40000
73225,Mana,Swick,Engineer,1/25/1998,44581
73237,Sanjoy,Bonifati,Senior Staff,1/31/1994,71930
73237,Sanjoy,Bonifati,Staff,1/31/1987,71930
73283,Shen,Leaver,Engineer,2/11/1996,55758
73305,Heon,Lambe,Engineer,11/15/1987,40000
73305,Heon,Lambe,Senior Engineer,11/14/1993,40000
73318,Elliott,Highland,Assistant Engineer,11/4/1989,40000
73318,Elliott,Highland,Engineer,11/4/1998,40000
73322,Atreye,Tomescu,Senior Staff,4/13/2001,81800
73322,Atreye,Tomescu,Staff,4/13/1996,81800
73336,Zhongwei,Molenkamp,Senior Staff,1/1/1996,98099
73336,Zhongwei,Molenkamp,Staff,1/1/1991,98099
73339,Leni,Kamble,Senior Engineer,9/11/1988,58140
73350,Takahira,Daescu,Engineer,7/9/1987,88266
73350,Takahira,Daescu,Senior Engineer,7/8/1992,88266
73352,Boutros,Fortenbacher,Engineer,5/1/1985,40000
73352,Boutros,Fortenbacher,Senior Engineer,5/1/1992,40000
73355,Kannan,Rotem,Engineer,10/12/1996,49429
73355,Kannan,Rotem,Senior Engineer,10/12/2001,49429
73364,Wayne,Gaughan,Engineer,12/26/1988,40000
73364,Wayne,Gaughan,Senior Engineer,12/26/1997,40000
73375,Aiichiro,Kragelund,Staff,1/15/2000,55932
73387,Noritoshi,Axelband,Senior Staff,2/23/1992,66306
73387,Noritoshi,Axelband,Staff,2/22/1985,66306
73389,IEEE,Sherertz,Staff,9/7/1995,61335
73390,Ishfaq,Beutelspacher,Engineer,12/4/1988,64348
73390,Ishfaq,Beutelspacher,Senior Engineer,12/4/1997,64348
73395,Jouko,Tsukune,Engineer,12/15/1987,69171
73395,Jouko,Tsukune,Senior Engineer,12/14/1992,69171
73400,Billur,Heemskerk,Engineer,1/21/1990,61259
73400,Billur,Heemskerk,Senior Engineer,1/21/1998,61259
73406,Basil,Tomescu,Engineer,8/4/1985,54965
73406,Basil,Tomescu,Senior Engineer,8/4/1994,54965
73409,Denis,Biros,Engineer,2/25/1986,40000
73409,Denis,Biros,Senior Engineer,2/25/1992,40000
73415,Renny,Pillow,Senior Staff,10/27/1999,70580
73425,Parviz,Aumann,Senior Engineer,3/25/1996,51354
73430,Khosrow,Beausoleil,Engineer,6/20/1985,41410
73430,Khosrow,Beausoleil,Senior Engineer,6/20/1990,41410
73446,Yuguang,Gronowski,Senior Staff,6/26/1998,51562
73456,Toney,Azadmanesh,Engineer,12/2/1988,44012
73456,Toney,Azadmanesh,Senior Engineer,12/2/1996,44012
73462,Sergi,Pelc,Senior Staff,11/24/1999,83835
73462,Sergi,Pelc,Staff,11/24/1990,83835
73465,Susanne,Adachi,Technique Leader,2/20/1988,57800
73466,Tzu,Guerreiro,Engineer,5/12/1988,46274
73466,Tzu,Guerreiro,Senior Engineer,5/12/1994,46274
73497,Sibyl,Huhdanpaa,Senior Staff,5/21/1996,68016
73497,Sibyl,Huhdanpaa,Staff,5/22/1990,68016
73499,Ult,Ferriere,Senior Staff,10/25/2000,67659
73499,Ult,Ferriere,Staff,10/26/1995,67659
73500,Sahrah,Thambidurai,Engineer,1/15/1986,49123
73500,Sahrah,Thambidurai,Senior Engineer,1/15/1994,49123
73515,Khun,Chelton,Senior Staff,3/13/1998,55181
73515,Khun,Chelton,Staff,3/13/1990,55181
73523,Fei,Parascandalo,Senior Staff,2/4/1992,68413
73532,Becky,dAstous,Staff,11/27/1999,58237
73539,Renee,Serot,Assistant Engineer,5/8/1986,49459
73539,Renee,Serot,Engineer,5/8/1993,49459
73539,Renee,Serot,Senior Engineer,5/8/2000,49459
73542,Shigehito,Acton,Senior Staff,7/3/1995,84958
73542,Shigehito,Acton,Staff,7/2/1988,84958
73548,Margareta,Pena,Senior Staff,11/15/1993,60839
73548,Margareta,Pena,Staff,11/15/1985,60839
73553,Duro,Botman,Engineer,11/28/1993,40000
73553,Duro,Botman,Senior Engineer,11/28/1998,40000
73559,Masamitsu,Murrill,Senior Staff,2/27/2002,40000
73559,Masamitsu,Murrill,Staff,2/28/1996,40000
73572,Yuuichi,Schapire,Technique Leader,6/17/1989,54670
73578,Berna,Rohrbach,Engineer,1/24/1996,50566
73595,Nobuyoshi,Vandervoorde,Senior Staff,4/4/1985,45910
73601,Aloke,Vasanthakumar,Engineer,11/7/1991,63363
73601,Aloke,Vasanthakumar,Senior Engineer,11/6/2000,63363
73612,Toney,Lienhardt,Senior Staff,2/3/1995,58388
73612,Toney,Lienhardt,Staff,2/3/1987,58388
73615,Manton,Vecchi,Engineer,8/6/1987,40000
73615,Manton,Vecchi,Senior Engineer,8/5/1996,40000
73621,Gadiel,Imataki,Senior Staff,2/8/1999,51256
73621,Gadiel,Imataki,Staff,2/8/1990,51256
73628,Lucien,Riefers,Senior Staff,11/30/1992,58265
73628,Lucien,Riefers,Staff,12/1/1987,58265
73635,Roselyn,Desikan,Staff,1/21/1996,52881
73636,Macha,Koblitz,Engineer,5/7/1997,40000
73644,Eberhardt,Backhouse,Engineer,10/27/1986,92720
73644,Eberhardt,Backhouse,Senior Engineer,10/27/1994,92720
73655,Aram,Garrabrants,Technique Leader,9/9/1994,41368
73673,Chenxi,Yurov,Senior Engineer,2/10/1989,48827
73674,Yifei,Jahnichen,Senior Staff,10/21/1992,80999
73674,Yifei,Jahnichen,Staff,10/21/1985,80999
73687,Zito,Bakhtari,Senior Staff,10/24/1997,61054
73687,Zito,Bakhtari,Staff,10/24/1992,61054
73689,Mansur,Goldhammer,Senior Staff,8/26/1990,50994
73689,Mansur,Goldhammer,Staff,8/26/1985,50994
73726,Elvia,Mawatari,Staff,3/16/1999,40000
73733,Takanari,Kusakari,Senior Staff,3/2/1996,61413
73733,Takanari,Kusakari,Staff,3/2/1989,61413
73734,Zhongwei,Rodite,Senior Staff,7/23/1995,66545
73734,Zhongwei,Rodite,Staff,7/22/1988,66545
73739,Marin,Krohm,Senior Staff,10/20/1997,60709
73739,Marin,Krohm,Staff,10/20/1988,60709
73744,Basil,Baalen,Staff,2/9/1997,48738
73756,Moni,Strooper,Engineer,1/6/1996,40000
73756,Moni,Strooper,Senior Engineer,1/5/2001,40000
73758,Serenella,Sevcikova,Engineer,7/28/1996,44201
73758,Serenella,Sevcikova,Senior Engineer,7/28/2002,44201
73761,Mark,Birge,Senior Staff,1/13/1988,69853
73762,Leaf,Tchuente,Engineer,11/29/1985,45234
73762,Leaf,Tchuente,Senior Engineer,11/29/1990,45234
73765,Richara,Gimbel,Engineer,2/10/1997,69223
73777,Carrsten,DeMori,Engineer,11/23/1999,44146
73782,Janche,Prochazka,Technique Leader,9/29/1987,40000
73790,Kazunori,Pepe,Technique Leader,9/11/1986,61447
73808,Urs,Skafidas,Engineer,2/12/1987,40000
73808,Urs,Skafidas,Senior Engineer,2/12/1996,40000
73811,Valeri,Trogemann,Senior Engineer,4/22/1987,44473
73812,Shugo,Koblitz,Senior Staff,10/23/1997,70712
73812,Shugo,Koblitz,Staff,10/23/1988,70712
73817,Nikolaos,Veccia,Senior Staff,9/22/1986,57197
73823,Shaibal,Michaels,Senior Staff,3/17/1993,74949
73823,Shaibal,Michaels,Staff,3/17/1986,74949
73835,Leif,Krupka,Engineer,9/1/1993,83289
73835,Leif,Krupka,Senior Engineer,9/1/2000,83289
73841,Xiaocheng,Beznosov,Senior Staff,6/2/1990,71616
73841,Xiaocheng,Beznosov,Staff,6/2/1985,71616
73842,Seongbin,Esteva,Senior Staff,11/7/1997,76465
73855,Greger,Blokdijk,Senior Staff,6/20/1997,70976
73855,Greger,Blokdijk,Staff,6/20/1992,70976
73868,Moon,Goodrum,Engineer,6/22/1997,79654
73868,Moon,Goodrum,Senior Engineer,6/22/2002,79654
73880,Katsuyuki,Gente,Assistant Engineer,5/26/1986,40000
73880,Katsuyuki,Gente,Engineer,5/25/1992,40000
73880,Katsuyuki,Gente,Senior Engineer,5/25/1998,40000
73883,Lihong,Comellas,Senior Staff,1/4/1993,82880
73885,Gianluca,Farrow,Engineer,11/24/1996,40000
73891,Rasikan,Rebaine,Senior Staff,8/31/1992,80024
73891,Rasikan,Rebaine,Staff,8/31/1985,80024
73901,Arif,Ernst,Engineer,9/6/1998,54929
73911,Ziya,Syrotiuk,Senior Staff,3/11/1985,40000
73914,Atreyi,Smailagic,Engineer,6/11/1988,40000
73914,Atreyi,Smailagic,Senior Engineer,6/11/1996,40000
73921,Maja,Rijsenbrij,Engineer,3/21/1988,40000
73921,Maja,Rijsenbrij,Senior Engineer,3/21/1993,40000
73937,Kagan,Moehrke,Senior Staff,11/21/1988,56500
73952,Georgy,Matzov,Engineer,4/4/1988,54749
73952,Georgy,Matzov,Senior Engineer,4/3/1996,54749
73965,Tonia,Verhaegen,Engineer,9/8/1998,40000
73969,Yongdong,Prampolini,Engineer,10/16/1996,40140
73972,Makato,Biron,Senior Staff,9/18/1994,75625
73972,Makato,Biron,Staff,9/18/1985,75625
73984,Ioana,Peltason,Engineer,1/23/1987,40251
73984,Ioana,Peltason,Senior Engineer,1/23/1994,40251
73996,Sachar,Yamaashi,Engineer,8/12/1985,40000
73996,Sachar,Yamaashi,Senior Engineer,8/12/1992,40000
74014,Hilary,Benaini,Engineer,10/25/1991,44130
74014,Hilary,Benaini,Senior Engineer,10/25/1998,44130
74015,Parke,Lubachevsky,Senior Staff,2/11/1995,68789
74015,Parke,Lubachevsky,Staff,2/11/1987,68789
74021,Qiwen,Baba,Engineer,11/15/1991,52086
74021,Qiwen,Baba,Senior Engineer,11/14/1997,52086
74024,Dinkar,Cools,Senior Engineer,1/18/2000,84359
74025,Paloma,Figueira,Engineer,2/11/1986,40000
74025,Paloma,Figueira,Senior Engineer,2/11/1993,40000
74027,Goo,Openshaw,Engineer,1/9/1991,48363
74027,Goo,Openshaw,Senior Engineer,1/8/1997,48363
74042,Rosine,Kaiserswerth,Engineer,12/30/1987,83655
74042,Rosine,Kaiserswerth,Senior Engineer,12/29/1996,83655
74046,Jungsoon,Birta,Engineer,2/2/1994,55534
74046,Jungsoon,Birta,Senior Engineer,2/2/1999,55534
74048,Krister,Mandell,Assistant Engineer,6/29/1989,40000
74048,Krister,Mandell,Engineer,6/29/1997,40000
74050,Greger,Staylopatis,Engineer,3/1/1994,40000
74050,Greger,Staylopatis,Senior Engineer,3/1/2001,40000
74056,Fumitake,Ishibashi,Engineer,3/28/1997,49164
74069,Bluma,Schusler,Senior Staff,4/5/1996,75624
74069,Bluma,Schusler,Staff,4/7/1987,75624
74084,Hatem,Vasanthakumar,Senior Staff,6/26/1993,59734
74084,Hatem,Vasanthakumar,Staff,6/27/1987,59734
74101,Debaprosad,Porenta,Technique Leader,10/30/1999,51287
74106,Sailaja,Uchoa,Senior Staff,2/16/1995,67742
74106,Sailaja,Uchoa,Staff,2/16/1987,67742
74116,Adit,Couchot,Engineer,7/16/1995,40000
74116,Adit,Couchot,Senior Engineer,7/15/2000,40000
74122,Sushant,Cappello,Senior Staff,1/26/1993,40000
74122,Sushant,Cappello,Staff,1/27/1988,40000
74126,Dulce,Bala,Engineer,1/3/1987,64060
74126,Dulce,Bala,Senior Engineer,1/2/1993,64060
74151,Munehiro,Bahl,Senior Staff,2/6/1988,76340
74156,Bodo,Lovengreen,Senior Staff,9/10/1985,40000
74164,Yakichi,Ambroszkiewicz,Senior Engineer,4/14/1991,48103
74166,Shawna,Beidas,Senior Staff,5/14/2001,43899
74166,Shawna,Beidas,Staff,5/14/1996,43899
74169,Eldridge,Baek,Senior Engineer,8/10/1997,40706
74176,Mariangiola,Conte,Engineer,3/3/1987,45366
74176,Mariangiola,Conte,Senior Engineer,3/2/1996,45366
74177,Charmane,Azumi,Senior Staff,6/4/1995,40000
74177,Charmane,Azumi,Staff,6/4/1987,40000
74182,Takushi,Stasinski,Senior Staff,11/7/1994,40000
74182,Takushi,Stasinski,Staff,11/7/1985,40000
74184,Demin,Crelier,Senior Engineer,8/12/1986,61716
74186,Nectarios,Landherr,Senior Staff,7/18/1994,52913
74186,Nectarios,Landherr,Staff,7/18/1987,52913
74188,Kersti,Cronau,Engineer,6/22/1991,41541
74188,Kersti,Cronau,Senior Engineer,6/21/2000,41541
74202,Aamer,Schneeberger,Engineer,10/15/1987,48172
74202,Aamer,Schneeberger,Senior Engineer,10/14/1993,48172
74233,Zvonko,Spell,Assistant Engineer,2/3/1992,40000
74233,Zvonko,Spell,Engineer,2/2/1997,40000
74233,Zvonko,Spell,Senior Engineer,2/2/2002,40000
74246,Tomofumi,Erdi,Senior Staff,7/22/2001,99729
74246,Tomofumi,Erdi,Staff,7/22/1994,99729
74258,Apostol,Hemaspaandra,Senior Staff,6/10/1994,40000
74258,Apostol,Hemaspaandra,Staff,6/10/1986,40000
74271,Guther,Coombs,Senior Staff,10/8/2001,79587
74271,Guther,Coombs,Staff,10/8/1992,79587
74273,Rosita,Gladwell,Engineer,11/15/1987,40000
74273,Rosita,Gladwell,Senior Engineer,11/14/1996,40000
74286,Ramya,Bugaenko,Senior Engineer,10/11/1992,40000
74301,Leaf,Sethi,Engineer,12/12/1986,45021
74301,Leaf,Sethi,Senior Engineer,12/12/1995,45021
74315,Kristinn,Henseler,Engineer,10/26/1998,40000
74316,Eran,Desikan,Senior Staff,1/18/1994,73441
74316,Eran,Desikan,Staff,1/18/1987,73441
74323,Katsuo,Yetto,Engineer,11/3/1988,48439
74323,Katsuo,Yetto,Senior Engineer,11/3/1996,48439
74327,Aloke,Rahier,Senior Staff,5/26/2000,40000
74327,Aloke,Rahier,Staff,5/26/1993,40000
74332,Brigham,Impagliazzo,Engineer,6/2/1988,42665
74332,Brigham,Impagliazzo,Senior Engineer,6/2/1997,42665
74342,Jamaludin,Fiutem,Senior Staff,6/21/1993,87368
74342,Jamaludin,Fiutem,Staff,6/21/1985,87368
74353,Shan,Rajala,Engineer,12/30/1998,51591
74354,Aron,Lorys,Senior Staff,6/29/1995,40000
74354,Aron,Lorys,Staff,6/28/1988,40000
74358,Mohammad,Lanteri,Senior Staff,3/6/1987,71479
74388,Mokhtar,Miyakawa,Engineer,5/1/1994,54421
74388,Mokhtar,Miyakawa,Senior Engineer,5/1/1999,54421
74406,Jaber,Tzvieli,Engineer,11/5/1985,40514
74406,Jaber,Tzvieli,Senior Engineer,11/5/1993,40514
74408,Padma,Rodite,Engineer,4/21/1997,58467
74413,Juichirou,Nitta,Engineer,11/28/1999,51003
74420,Horward,Marsiglia,Senior Staff,8/2/1991,73505
74420,Horward,Marsiglia,Staff,8/2/1985,73505
74425,Shakhar,Pero,Technique Leader,2/17/1988,50240
74447,Atilio,Hebert,Senior Staff,9/8/1988,40000
74450,Ortrun,Radivojevic,Engineer,1/2/1995,40000
74458,Gennady,Guenter,Engineer,3/1/1989,52323
74458,Gennady,Guenter,Senior Engineer,3/1/1995,52323
74481,Theirry,Restivo,Engineer,3/27/1996,40000
74493,Susanne,Chelton,Assistant Engineer,11/10/1988,54053
74493,Susanne,Chelton,Engineer,11/10/1996,54053
74494,Jongsuk,Czap,Engineer,12/7/1987,46311
74494,Jongsuk,Czap,Senior Engineer,12/6/1996,46311
74502,Bedrich,Delaune,Senior Staff,4/6/1991,40000
74502,Bedrich,Delaune,Staff,4/6/1986,40000
74506,Becky,Picaronny,Staff,12/26/1998,74502
74514,Rosalyn,Benzmuller,Engineer,1/19/1994,56611
74514,Rosalyn,Benzmuller,Senior Engineer,1/19/2002,56611
74537,Sanjay,Samarati,Senior Staff,9/10/1999,40000
74542,Adin,Naumovich,Senior Staff,6/20/1997,74942
74542,Adin,Naumovich,Staff,6/20/1988,74942
74571,Atilio,Viele,Engineer,11/12/1987,95687
74571,Atilio,Viele,Senior Engineer,11/11/1992,95687
74573,Torsten,DeMori,Senior Engineer,12/22/1996,56150
74576,Sanjiv,Mundy,Engineer,3/27/1986,44608
74576,Sanjiv,Mundy,Senior Engineer,3/27/1991,44608
74585,Youssef,Maliniak,Engineer,8/18/1998,40000
74605,Kayoko,Berstel,Engineer,1/19/1994,66119
74609,Divier,Conta,Engineer,7/1/1999,41187
74618,Sanjiv,Zyda,Engineer,6/19/1996,50834
74634,Gad,Strandh,Senior Staff,11/26/1996,40000
74634,Gad,Strandh,Staff,11/27/1987,40000
74639,Heeju,Cooley,Technique Leader,2/20/1985,43157
74642,Billur,Range,Assistant Engineer,3/14/1988,40000
74642,Billur,Range,Engineer,3/14/1996,40000
74656,Mayuri,Radivojevic,Engineer,10/5/1987,48554
74656,Mayuri,Radivojevic,Senior Engineer,10/5/1995,48554
74672,Vishu,Genther,Senior Engineer,9/7/1986,40000
74681,Marjo,Passafiume,Engineer,3/15/1994,61850
74681,Marjo,Passafiume,Senior Engineer,3/14/2000,61850
74683,Takanari,Clouatre,Senior Staff,7/20/1996,61336
74683,Takanari,Clouatre,Staff,7/20/1988,61336
74684,Oguz,Bernatsky,Senior Staff,6/9/2000,64613
74684,Oguz,Bernatsky,Staff,6/10/1991,64613
74690,Kristin,Streit,Engineer,3/3/1988,60074
74690,Kristin,Streit,Senior Engineer,3/3/1993,60074
74695,Bluma,Yamaashi,Engineer,4/25/1987,51493
74695,Bluma,Yamaashi,Senior Engineer,4/25/1995,51493
74699,Moon,Rotem,Assistant Engineer,2/11/1986,40000
74699,Moon,Rotem,Engineer,2/11/1994,40000
74699,Moon,Rotem,Senior Engineer,2/11/2002,40000
74706,Fen,Tibblin,Engineer,9/8/1991,52180
74706,Fen,Tibblin,Senior Engineer,9/8/1999,52180
74723,Sibyl,Chiodo,Engineer,9/28/1988,73177
74723,Sibyl,Chiodo,Senior Engineer,9/28/1994,73177
74733,Val,Sabnani,Senior Staff,8/27/1993,70874
74733,Val,Sabnani,Staff,8/27/1985,70874
74742,Troy,Gurbaxani,Engineer,6/7/1988,40000
74742,Troy,Gurbaxani,Senior Engineer,6/7/1993,40000
74766,Mats,Nitta,Technique Leader,11/23/1996,42819
74772,Anoosh,Esteva,Staff,10/15/1996,64329
74779,Beshir,Thibadeau,Senior Staff,2/27/1993,64227
74779,Beshir,Thibadeau,Staff,2/27/1985,64227
74783,Eckart,Schaaf,Engineer,7/10/1986,65655
74783,Eckart,Schaaf,Senior Engineer,7/10/1995,65655
74802,Mingzeng,Demizu,Technique Leader,3/6/1988,49280
74811,Khatoun,Pardalos,Engineer,11/17/1988,53056
74811,Khatoun,Pardalos,Senior Engineer,11/17/1993,53056
74817,Quingbo,Ranai,Senior Staff,12/30/1993,43296
74817,Quingbo,Ranai,Staff,12/30/1988,43296
74837,Vitaly,Gunderson,Senior Staff,8/12/1991,40000
74837,Vitaly,Gunderson,Staff,8/12/1986,40000
74851,Takanari,Ratzlaff,Senior Staff,1/13/1993,42705
74851,Takanari,Ratzlaff,Staff,1/14/1987,42705
74868,Shuji,Parfitt,Senior Staff,8/28/1995,43508
74868,Shuji,Parfitt,Staff,8/28/1986,43508
74878,Mark,Leaver,Engineer,9/15/1988,50609
74878,Mark,Leaver,Senior Engineer,9/15/1994,50609
74883,Yonghoan,Hofman,Engineer,10/28/1993,40337
74888,Falguni,Jansen,Engineer,11/12/1986,40000
74888,Falguni,Jansen,Senior Engineer,11/12/1994,40000
74897,Ayonca,Danlos,Senior Staff,11/19/1994,50069
74897,Ayonca,Danlos,Staff,11/19/1986,50069
74903,Xinan,Farris,Senior Staff,4/1/1990,50356
74903,Xinan,Farris,Staff,4/1/1985,50356
74907,Golgen,Murtha,Engineer,11/10/1985,40000
74907,Golgen,Murtha,Senior Engineer,11/10/1993,40000
74914,Xiaopeng,Melter,Senior Engineer,6/16/1987,71780
74921,Holgard,Rehfuss,Senior Engineer,11/6/1988,67629
74922,Etsuo,Milicic,Assistant Engineer,8/25/1988,40000
74922,Etsuo,Milicic,Engineer,8/25/1993,40000
74922,Etsuo,Milicic,Senior Engineer,8/25/1998,40000
74923,Geoffry,Pepe,Engineer,1/14/1999,50867
74935,Manohar,Vendrig,Engineer,8/13/1993,40000
74938,Mohit,Felcyn,Engineer,9/11/1993,42244
74938,Mohit,Felcyn,Senior Engineer,9/11/2000,42244
74939,Rimli,Valiente,Senior Engineer,4/7/1997,40000
74950,Weidon,Trelles,Technique Leader,1/20/1999,40000
74958,Mantis,Rissland,Senior Staff,12/4/1992,41636
74958,Mantis,Rissland,Staff,12/5/1987,41636
74965,Owen,Babu,Senior Staff,4/24/1996,67482
74965,Owen,Babu,Staff,4/24/1988,67482
74984,Udi,Thorensen,Staff,3/6/1997,68929
75007,Yunming,Bharadwaj,Engineer,1/31/1996,40000
75007,Yunming,Bharadwaj,Senior Engineer,1/30/2001,40000
