emp_no,first_name,last_name,title,from_date
78331,Guozhong,Erol,Senior Staff,4/5/2001
78332,Sachio,Beausoleil,Senior Engineer,12/13/1990
78348,Guoxiang,Serov,Senior Engineer,10/30/1997
78350,Eric,Kobara,Senior Staff,3/25/1991
78373,Aimee,Schlumberger,Senior Engineer,8/16/1994
78385,Syozo,Hasenauer,Senior Engineer,7/2/1994
78387,Chaosheng,Lunt,Senior Staff,4/28/1996
78397,Sham,Kulisch,Senior Engineer,1/6/2000
78402,Seongbin,Heering,Senior Engineer,10/21/1997
78403,Heping,Muntz,Senior Engineer,12/24/1992
78410,Sreenivas,Albarhamtoshy,Senior Engineer,2/20/1993
78419,Unal,Azadmanesh,Senior Engineer,12/15/1995
78427,Zeljko,Merks,Senior Engineer,11/18/1993
78429,Chinhyun,Andreotta,Technique Leader,3/31/1988
78436,Arne,Schaap,Senior Engineer,10/21/1998
78438,Susanne,Vuskovic,Senior Staff,8/22/1996
78441,Abdulla,Beetstra,Senior Engineer,11/3/1990
78444,Rafols,Peot,Senior Engineer,9/3/1986
78445,Lein,Baar,Senior Staff,7/5/1987
78447,Chiranjit,Bahk,Staff,2/7/1997
78452,Hironoby,Walstra,Senior Engineer,6/28/1993
78454,Masaki,Marciano,Senior Staff,7/3/1985
78460,Guttorm,Swiss,Senior Engineer,11/29/1994
78463,Zita,Kaelbling,Senior Engineer,2/29/1996
78474,Youssef,Belinskaya,Senior Engineer,12/12/1994
78475,Lakshmi,Renear,Technique Leader,1/7/1987
78488,Toshimori,Morton,Senior Engineer,9/7/1988
78493,Kaijung,Basagni,Technique Leader,11/25/1987
78508,Val,Pluym,Senior Staff,8/17/1994
78511,Pramod,Mitina,Senior Engineer,12/25/1999
78515,Otilia,Sury,Senior Staff,7/4/1995
78524,Zhiwei,Bahk,Senior Staff,8/11/1996
78542,Atilio,Matzat,Senior Engineer,12/9/1991
78551,Lobel,Cooman,Technique Leader,9/17/1989
78561,Perry,Birke,Senior Engineer,5/27/1994
78571,Sandeepan,Munch,Senior Engineer,6/7/1985
78573,Berry,Rosiles,Senior Staff,11/13/1996
78583,Rafols,Oskamp,Senior Engineer,3/7/1997
78589,Kazuhisa,Schaft,Senior Staff,6/16/1989
78598,Xiaopeng,Garnier,Senior Staff,11/8/1992
78618,Teiji,Peres,Engineer,3/19/1996
78622,Rosita,Chepyzhov,Senior Staff,4/4/1996
78629,Geoff,Muniz,Senior Staff,5/29/1991
78649,Gino,Lorys,Senior Staff,6/1/1993
78692,Turgut,Nollmann,Senior Engineer,4/2/1988
78693,Xinan,Luce,Staff,2/22/1998
78697,Troy,Stavenow,Staff,3/1/1998
78710,Theirry,Benantar,Senior Engineer,4/3/1990
78715,Heeju,Ozeri,Senior Engineer,3/11/1996
78738,Masadi,Jervis,Senior Staff,8/15/2000
78745,Subbu,Peris,Staff,3/17/1997
78755,Emran,Christianini,Staff,11/25/1995
78777,Goetz,Henders,Senior Engineer,4/28/1995
78779,Xuejun,Warwick,Senior Engineer,11/17/1999
78784,Udo,Speek,Senior Engineer,5/28/1995
78794,Fun,Rajaraman,Senior Staff,11/5/1993
78802,Vojin,Garigliano,Senior Staff,7/25/1988
78814,Kasidit,Pollock,Senior Engineer,4/13/1993
78819,Vojin,Compeau,Senior Staff,3/12/1993
78836,Tiina,Janocha,Senior Staff,12/8/1987
78841,Aloys,Flasterstein,Senior Staff,2/13/1991
78852,Kazunori,Vuskovic,Senior Staff,12/10/1999
78863,Arie,Chinen,Staff,7/15/1998
78866,Olivera,Rusmann,Senior Staff,10/21/1994
78888,Shimshon,Lung,Senior Staff,1/30/1992
78907,Georgi,Detkin,Senior Engineer,8/5/2001
78908,Arne,Molenaar,Staff,10/3/1997
78932,Yannis,Marquardt,Senior Staff,10/25/1996
78938,Kerhong,Krybus,Senior Staff,6/1/1999
78940,Thodoros,Steenbeek,Senior Engineer,5/31/1997
78979,Gurbir,Wolniewicz,Senior Engineer,5/3/1994
78990,Toshiki,Engelmann,Senior Engineer,7/4/1994
79002,Lena,Pappas,Senior Engineer,3/19/1991
79010,Marsal,Pusterhofer,Engineer,7/21/1999
79026,Armond,Frijda,Senior Engineer,10/1/1993
79031,Morris,Arlazarov,Senior Engineer,11/12/1988
79037,Ewing,Encarnacion,Senior Engineer,11/16/1996
79041,Pranav,Barvinok,Staff,5/1/1994
79042,Iara,Narwekar,Senior Engineer,10/24/1986
79049,Lijie,Besancenot,Senior Staff,3/2/2000
79057,Chikako,Pelc,Engineer,1/14/1994
79064,Kenroku,Coors,Engineer,1/9/1998
79072,Nevio,Cochrane,Senior Engineer,10/21/1999
79073,Almudena,Bhattacharjee,Senior Staff,1/28/1995
79090,Shigenori,Rajaraman,Senior Engineer,10/9/1991
79100,Kiyotoshi,Schlegelmilch,Senior Staff,10/28/1993
79110,Aiichiro,Vecchi,Engineer,7/28/1998
79114,Jessie,Baranowski,Engineer,11/17/1995
79117,Selwyn,Coors,Senior Engineer,6/14/1985
79119,Navid,Maccarone,Senior Engineer,7/24/1995
79131,Tayeb,Speer,Engineer,4/29/1996
79140,Huiqun,Gyorkos,Senior Engineer,3/5/1994
79145,Oscar,Domenig,Senior Staff,6/26/1992
79158,Georgi,Merro,Senior Staff,4/8/1996
79177,Mooi,Herbst,Technique Leader,12/15/1988
79178,Danae,Worfolk,Senior Engineer,1/14/1992
79183,Mingsen,Lamba,Senior Staff,2/27/1985
79203,Gilbert,Reinhart,Senior Engineer,8/18/1989
79204,Juyoung,Lund,Senior Staff,3/12/1995
79210,Mansur,Antonakopoulos,Senior Engineer,9/19/1991
79218,Rosita,Luce,Engineer,8/10/1998
79219,Yaghout,Irland,Senior Engineer,5/27/1986
79247,Yinlin,Beetstra,Senior Engineer,12/7/2000
79251,Gennady,Taubenfeld,Senior Staff,5/27/1993
79264,Chaosheng,Demizu,Senior Engineer,12/3/1994
79265,Lokesh,Kenevan,Senior Staff,8/14/1994
79267,Chinhyun,Rebaine,Senior Engineer,11/12/1993
79285,Bingning,Lieblein,Engineer,9/26/1997
79290,Mohit,Perelgut,Engineer,8/7/1997
79320,Hausi,Ramsay,Senior Engineer,4/10/1994
79323,Zhiwei,Feinberg,Senior Staff,9/5/1989
79338,Boaz,Kading,Engineer,5/11/1997
79348,Mari,Gire,Technique Leader,4/7/1985
79367,Shir,Kandlur,Engineer,10/30/2001
79369,Jianwen,Collette,Staff,10/22/1995
79376,Faiza,Kragelund,Senior Staff,11/3/1996
79390,Bernt,Shigei,Staff,8/2/1999
79391,Gritta,Garnham,Senior Engineer,3/15/1993
79401,Zvonko,Bage,Senior Staff,7/7/2001
79409,Kayoko,Pluym,Senior Engineer,9/4/1988
79411,Akemi,Beidas,Senior Staff,10/24/1998
79429,Koldo,Swab,Engineer,8/28/1996
79432,Younwoo,Gerteisen,Senior Staff,12/31/1996
79434,Claudi,Byoun,Senior Engineer,8/15/1985
79442,Yannis,McClurg,Senior Staff,2/28/2002
79446,Filipe,Pettis,Technique Leader,5/10/1988
79449,Tonny,Stavenow,Engineer,6/29/1995
79463,Mizuhito,Hennebert,Senior Staff,10/26/1991
79470,Sadegh,Schmittgen,Senior Engineer,1/23/2002
79473,Denny,Ellozy,Technique Leader,10/24/1985
79477,Teruyuki,Gronowski,Senior Staff,2/8/1992
79486,Mitchel,Garigliano,Senior Engineer,1/21/2000
79488,Yolla,Shumilov,Senior Engineer,10/28/1985
79505,Sariel,Farrel,Senior Engineer,6/24/2001
79509,Vitaly,Akiyama,Senior Staff,5/24/1994
79563,Golgen,Chleq,Senior Staff,4/24/2000
79566,Fumino,Peron,Senior Staff,8/13/2000
79567,Karoline,Willoner,Senior Engineer,4/22/2000
79590,Jiakeng,Ariola,Senior Staff,8/8/1996
79612,Jaewon,Monarch,Senior Engineer,11/7/1990
79644,Radoslaw,Lindenbaum,Technique Leader,11/3/1985
79668,Kyoichi,Eterovic,Technique Leader,2/4/1991
79669,Premsyl,Meszaros,Assistant Engineer,7/2/1996
79681,Demin,Panwar,Senior Engineer,4/11/1997
79684,JiYoung,Janocha,Senior Staff,12/25/1988
79688,Gift,Billingsley,Senior Engineer,12/23/1991
79696,Gopalakrishnan,Vadhan,Senior Engineer,10/16/2000
79703,Remco,Einsfeld,Senior Engineer,5/11/1996
79704,Ipke,Neiman,Engineer,7/1/2001
79708,Yechiam,Baak,Senior Staff,3/7/1988
79735,Hideo,Conti,Technique Leader,8/6/1989
79748,George,Beutelspacher,Senior Engineer,4/10/1992
79750,Jongsuk,Benzmuller,Senior Staff,8/29/1995
79761,Prasadram,Encarnacion,Senior Engineer,12/25/1985
79765,Gonzalo,Danecki,Senior Staff,6/3/1992
79766,Fox,Swiler,Engineer,12/1/1994
79772,Xiaoqiu,Gulik,Senior Staff,11/13/1987
79779,Stella,Orlowska,Senior Engineer,9/1/1991
79783,Thodoros,Szilard,Senior Engineer,8/8/2001
79789,Kotesh,Crelier,Senior Engineer,4/13/1997
79794,Yaghout,Rissland,Senior Staff,8/31/1987
79811,Tze,Krohm,Senior Staff,2/27/1995
79833,Yongdong,Homond,Senior Engineer,5/17/2000
79834,Guiseppe,Wuwongse,Senior Staff,11/12/1995
79839,Khue,Bolotov,Senior Engineer,10/6/1994
79855,Gudjon,Constantine,Senior Engineer,4/8/1988
79858,Mansur,Marzano,Senior Engineer,2/22/1991
79876,Randy,Feinberg,Senior Staff,5/8/1993
79879,Masako,Schaap,Senior Staff,10/29/1998
79900,Mong,Luck,Senior Staff,6/8/1994
79906,Tomoyuki,Waterhouse,Senior Staff,7/5/1997
79910,Gad,Honglei,Senior Staff,3/12/1985
79911,Heather,Zaumen,Senior Engineer,11/14/1999
79921,Hatim,Cochrane,Senior Engineer,2/4/1997
79958,Xinglin,Versino,Senior Engineer,2/13/2000
79972,Abdelghani,Thummel,Senior Staff,6/3/1996
79973,Zine,Socorro,Senior Staff,1/5/1999
79979,Yunming,Papsdorf,Senior Engineer,12/29/1991
79991,Yahiko,Czap,Senior Engineer,8/9/1994
79999,Chuanti,Jakobus,Senior Engineer,8/21/1995
80031,Wayne,Bach,Senior Engineer,5/14/1992
80032,Yurij,Isaac,Senior Staff,8/29/1991
80038,Vitaly,Gewali,Technique Leader,1/24/1986
80046,Zhanqiu,Yemenis,Engineer,10/17/1996
80070,Mana,Thisen,Senior Staff,11/27/1996
80072,Erzsebet,Kampfer,Staff,5/15/1997
80087,Gully,Mitchem,Technique Leader,8/1/1991
80092,Yucel,Wilharm,Senior Engineer,10/7/1998
80098,TRUE,Kusakabe,Senior Staff,10/1/1993
80128,Genta,Ushiama,Senior Engineer,9/4/1997
80129,Hairong,Fargier,Senior Staff,9/6/1997
80130,Jinya,Waschkowski,Senior Staff,8/19/1985
80131,Gill,Schurmann,Staff,10/4/1998
80132,Nidapan,Hedayat,Senior Engineer,11/26/1996
80136,Gaurav,Berstel,Senior Engineer,12/26/1994
80137,Kiyokazu,Vuskovic,Senior Staff,2/24/2001
80144,Boutros,Dechter,Senior Engineer,5/27/1993
80156,Terresa,Pleszkun,Senior Engineer,10/14/1995
80159,Jiafu,Rijckaert,Senior Staff,8/22/1998
80160,Nigel,Oberman,Technique Leader,1/12/1994
80166,Monique,Murrill,Senior Engineer,2/12/1994
80171,Kshitij,Zykh,Technique Leader,10/8/1985
80183,Mats,Munke,Senior Staff,4/11/1998
80184,Pintsang,Couchot,Senior Staff,1/31/1986
80186,Tayeb,Huttel,Senior Engineer,5/14/1997
80195,Sorina,Peral,Senior Staff,4/13/1992
80198,Yefim,Anger,Senior Staff,4/2/1985
80200,Yurii,Ghazalie,Engineer,10/29/1998
80207,Yifei,Matzov,Senior Staff,10/5/1992
80208,Elvia,Samarati,Technique Leader,4/28/1988
80223,Sadegh,Einsfeld,Senior Engineer,2/11/1991
80224,Reinhard,Zaiane,Senior Staff,5/19/1988
80225,Shridhar,Malabarba,Senior Staff,2/27/2001
80227,Kerryn,Braunschweig,Senior Engineer,8/6/1995
80251,Yoshinari,Kitai,Senior Engineer,6/12/1993
80258,Hirochika,Hiyoshi,Senior Staff,1/11/1995
80259,Haldon,Siprelle,Engineer,2/27/1998
80263,Gilbert,Etalle,Senior Engineer,4/25/1987
80270,Fen,Jonsson,Senior Staff,3/7/1998
80288,Teiji,Rousseau,Senior Engineer,3/19/1994
80318,Angus,Schneeberger,Senior Engineer,1/26/1996
80332,Behnaam,Masand,Senior Staff,8/16/2001
80358,Mong,Huhdanpaa,Senior Engineer,8/3/1999
80370,Honesty,Weiland,Senior Engineer,11/12/1991
80372,Aleksandar,Khasidashvili,Staff,6/7/1999
80375,Atreye,Peac,Senior Engineer,5/6/1991
80389,Pasqua,Rosiles,Engineer,6/12/1998
80429,Prodip,Suermann,Senior Staff,3/2/1986
80439,Jolita,Calkin,Senior Engineer,4/4/1994
80451,Raimond,Undy,Senior Engineer,11/12/1993
80455,Guther,Murrill,Senior Engineer,9/6/1996
80456,Aemilian,Gire,Senior Engineer,4/17/1998
80466,Takahiro,Bala,Staff,2/17/1996
80479,Sanjay,Kragelund,Senior Staff,1/24/2002
80489,Mani,Billawala,Senior Engineer,9/9/1985
80498,Arve,Pokrovskii,Senior Staff,9/27/1996
80520,Lijie,Crelier,Senior Engineer,5/20/1986
80546,Fuqing,Matzel,Senior Staff,9/2/1994
80550,Candida,Cullers,Senior Engineer,6/26/1991
80561,Visit,Solovay,Senior Engineer,6/30/1993
80570,Martial,Zykh,Senior Engineer,7/28/1996
80600,Yongdong,Werthner,Senior Engineer,6/30/1992
80611,Pramod,Sifakis,Senior Engineer,4/19/1997
80617,Prodip,Kugler,Senior Engineer,11/5/1994
80620,Filipe,Gischer,Senior Staff,12/2/1998
80637,Eishiro,Larfeldt,Senior Staff,8/1/1985
80639,Uma,Mahnke,Senior Engineer,7/20/1993
80653,Chiranjit,Kavanagh,Senior Engineer,6/3/1988
80665,Angel,Angot,Senior Staff,6/6/1993
80681,Gina,DasSarma,Senior Engineer,1/15/1993
80684,Takanari,VanScheik,Senior Staff,1/21/1994
80687,Pradeep,Calkin,Senior Engineer,5/20/1999
80689,Hitofumi,Conta,Senior Engineer,8/15/1995
80705,Josyula,Shackel,Technique Leader,10/7/1986
80717,Valdiodio,Frijda,Senior Staff,1/6/1993
80721,Katsuyuki,Delgrossi,Senior Staff,3/4/1995
80722,Yechiam,Bage,Senior Staff,4/8/1991
80724,Yongdong,Casperson,Senior Staff,5/1/1987
80740,Shuzo,Kermarrec,Senior Engineer,5/20/1993
80744,Badri,Bauknecht,Staff,3/25/1998
80746,Keiichiro,Jahnichen,Senior Engineer,7/2/1997
80751,Zhensheng,Swan,Senior Engineer,9/12/1991
80768,Shounak,Janocha,Technique Leader,6/11/1989
80774,Vishv,Pollacia,Senior Engineer,12/21/2001
80781,Xudong,Danner,Senior Engineer,7/25/1998
80790,Stepehn,Unno,Senior Engineer,1/22/1998
80791,Takahiro,Molenkamp,Senior Engineer,2/28/1994
80801,Bluma,Ambroszkiewicz,Senior Staff,3/9/2002
80805,Mabo,Lorin,Senior Engineer,4/10/1996
80810,Khalid,Merkl,Senior Staff,7/6/1999
80833,Jaihie,Demri,Senior Engineer,7/13/1985
80834,Sham,Reinhart,Senior Engineer,10/28/1993
80838,Cheong,Ruemmler,Senior Staff,8/28/1988
80844,Brigham,Hellwagner,Technique Leader,1/29/1986
80851,Sastry,Escriba,Senior Engineer,9/30/1995
80852,Yannis,Randt,Technique Leader,10/30/1988
80853,Claude,Bashian,Senior Staff,5/9/1996
80859,Ottavia,Krychniak,Senior Engineer,10/5/1995
80862,Serenella,Improta,Senior Staff,6/11/1996
80869,Ishfaq,Randi,Senior Engineer,7/8/1998
80873,Marsal,Nishimukai,Senior Staff,8/26/1994
80894,Kousuke,Georgakopoulos,Senior Engineer,7/3/1986
80896,Paloma,Hardjono,Senior Staff,5/16/1985
80903,Yakichi,Dulin,Senior Engineer,4/18/1997
80923,Yaghout,Kavanagh,Senior Staff,1/17/2001
80929,Nevio,Kading,Senior Staff,12/4/1996
80935,Terresa,Birke,Senior Engineer,3/10/1993
80937,Chikako,Jiang,Senior Staff,8/9/1985
80940,Kazuhiko,Smeets,Senior Engineer,10/1/1997
80955,Marc,Fioravanti,Senior Staff,11/12/1988
80962,Ute,Broder,Senior Staff,8/17/1995
80971,Mountaz,Rijckaert,Senior Engineer,7/21/1992
80977,Mana,Danner,Senior Engineer,12/18/1994
80980,Hyuncheol,Stentiford,Senior Staff,8/23/1991
80981,Fumitake,Niizuma,Assistant Engineer,11/18/1993
80987,Zito,Gulla,Senior Engineer,1/4/2000
80991,Marco,Schreiter,Senior Staff,8/29/1995
80998,Leandro,Lampe,Senior Engineer,5/1/2001
81000,Neelam,Thisen,Senior Engineer,10/23/2001
81001,Toshimori,Krider,Senior Staff,12/5/1995
81007,Mototsugu,Rande,Staff,3/6/1996
81015,Marke,Breugel,Senior Engineer,12/9/1992
81035,Hsiangchu,Boreale,Senior Staff,10/3/1993
81036,Alassane,Fargier,Technique Leader,12/20/1986
81047,Masaki,Dulay,Senior Engineer,7/15/1993
81050,Moti,Sridhar,Senior Engineer,6/21/1999
81052,Ziya,Levergood,Staff,5/27/1997
81068,Uno,Ecklund,Senior Engineer,10/22/1998
81070,Mariangiola,Rosaz,Senior Engineer,11/30/1987
81079,Nahla,Mellouli,Senior Staff,7/7/2002
81142,Heon,Zastre,Senior Staff,9/27/1998
81149,Tianruo,Georg,Engineer,9/29/1994
81152,Macha,Junet,Senior Engineer,5/30/1994
81158,Filipp,Percebois,Senior Engineer,9/22/1987
81166,Tayeb,Przulj,Senior Staff,12/10/1993
81167,Yurij,Francisci,Senior Staff,4/10/1991
81177,Bodh,Berendt,Assistant Engineer,10/2/1998
81185,Takushi,Kossowski,Senior Engineer,3/13/1993
81189,Serge,Broomell,Senior Staff,4/13/1991
81201,Werner,Knightly,Senior Staff,7/11/1993
81207,Barry,Hofstetter,Senior Engineer,7/2/1991
81208,Sumant,Rindone,Senior Engineer,11/24/1987
81218,Nectarios,Impagliazzo,Senior Engineer,12/26/1997
81245,Matk,Krzyzanowski,Engineer,1/17/1996
81264,Dannz,Erdmenger,Senior Staff,9/19/1993
81271,Kendra,Bade,Senior Staff,12/3/1995
81286,Richara,Fontet,Senior Staff,3/10/1997
81292,Ortrun,Copas,Senior Engineer,11/8/1986
81299,Visit,Ghemri,Senior Staff,5/31/1997
81303,Ghassan,Berstel,Senior Staff,4/10/1994
81324,Marl,Rossi,Engineer,7/5/1996
81329,Divine,Gire,Senior Engineer,7/22/1986
81338,Xiaoqiang,Erol,Senior Staff,7/28/2001
81340,Baocai,Poehlman,Senior Staff,9/23/1992
81344,Leif,Hiraishi,Engineer,8/14/1999
81358,Premal,Quadeer,Senior Staff,5/23/1993
81368,Frederique,Ghemri,Senior Engineer,8/27/2000
81376,Gunilla,Fabrizio,Senior Engineer,5/17/1997
81398,Hyuncheol,Gulak,Technique Leader,12/23/1987
81401,Monique,Kaltofen,Senior Staff,3/18/2000
81407,Hsiangchu,Rosin,Senior Staff,3/15/1994
81408,Atreye,Picaronny,Senior Staff,1/25/1996
81411,Eben,Stenning,Senior Engineer,8/11/1996
81412,Zhenhua,Menyhert,Senior Staff,2/13/1994
81430,Jackson,Milicia,Senior Staff,1/10/2000
81432,Hideyuki,Veldwijk,Senior Engineer,7/12/1996
81438,Mack,McClure,Senior Engineer,6/17/1994
81440,Fumitake,Melski,Senior Engineer,3/9/1993
81449,Arve,Halloran,Senior Staff,1/10/1993
81466,Zejun,Krone,Senior Engineer,11/7/2001
81468,Aiman,Bodoff,Senior Engineer,5/16/1995
81479,Girolamo,Vuskovic,Senior Engineer,7/29/2000
81494,Hatsukazu,Litzkow,Technique Leader,11/21/1986
81503,Kolar,Rabejac,Senior Engineer,10/23/1993
81508,Bokyung,Janocha,Senior Staff,12/17/1993
81509,Munehiko,Trachtenberg,Senior Engineer,9/4/1996
81510,Mamdouh,Penttonen,Senior Staff,4/8/1994
81517,Xiong,Reutenauer,Senior Staff,1/27/1995
81527,Arnd,Bouloucos,Senior Staff,7/9/1991
81537,Beshir,Pezzoli,Senior Staff,7/7/1995
81543,Jianhui,Ishibashi,Senior Staff,11/21/1996
81549,Takahira,Leslie,Senior Engineer,11/4/1994
81553,Adin,Fortenbacher,Senior Staff,4/23/1995
81564,Martijn,Michaels,Senior Engineer,10/28/2001
81572,Ingemar,DiGiano,Senior Engineer,7/7/1994
81587,Mani,Pluym,Senior Engineer,2/7/1996
81589,Bernd,Wilfing,Senior Engineer,6/3/1997
81592,Monique,Rehfuss,Senior Staff,9/30/1985
81594,Saddek,Spinelli,Technique Leader,3/30/1991
81599,Oldrich,Emmerich,Senior Staff,6/8/1997
81603,Suzette,Zuberek,Senior Staff,2/3/1997
81645,Jasminko,Reinhart,Senior Engineer,9/27/1992
81648,Jungsoon,Doering,Senior Engineer,2/19/1994
81649,Xuedong,Krohn,Senior Staff,4/17/1992
81653,Adit,Brobst,Senior Engineer,4/19/2001
81658,Rosine,Pearson,Senior Engineer,4/19/1992
81660,Arno,Schaap,Senior Staff,1/29/1986
81672,Kazuhito,Aloia,Engineer,9/25/1998
81676,Sham,Wrigley,Senior Staff,8/11/1999
81710,Girolamo,Hennings,Senior Staff,5/31/1996
81717,Toney,Anguita,Senior Staff,10/16/1995
81730,Sergi,DuBourdieux,Senior Staff,12/16/2000
81747,Vitali,Tanemo,Staff,2/14/1996
81751,Ulises,Salinas,Staff,1/1/1997
81755,Peer,Beeson,Senior Staff,2/26/2002
81767,Augustine,Matzov,Senior Staff,10/17/1994
81785,Patricia,Rando,Senior Staff,1/24/1992
81805,Gianluca,Bail,Senior Engineer,10/28/2001
81810,Baruch,Schaap,Technique Leader,4/12/1985
81815,Chaitali,Kuhnemann,Senior Engineer,6/29/1999
81817,Demos,Aloia,Senior Engineer,6/12/1994
81839,Leah,Curless,Senior Engineer,4/30/2001
81847,Ymte,Figueira,Senior Engineer,8/4/1985
81849,Debatosh,Bednarek,Senior Staff,8/24/1998
81851,Dante,Heystek,Senior Engineer,12/25/1993
81856,Masamitsu,Maierhofer,Senior Staff,5/1/1997
81861,Tesuro,Walstra,Senior Engineer,11/15/1994
81872,Shin,Pashtan,Engineer,6/14/1998
81876,Chenye,Shackell,Senior Staff,10/29/1994
81896,Kwan,Bashian,Senior Engineer,11/10/1996
81900,Mario,Bernatsky,Senior Engineer,8/14/1995
81907,Jouko,Merkl,Staff,5/9/1999
81940,Ioana,Siksek,Senior Engineer,1/15/1991
81973,Shigenori,Panienski,Senior Staff,8/21/1992
81981,Weicheng,Welham,Engineer,7/19/1998
81988,Lene,Pews,Senior Staff,4/15/1991
81998,Mari,Iwayama,Senior Staff,5/25/1996
81999,Mabhin,Vigier,Senior Staff,7/17/1996
82002,King,Farris,Senior Staff,5/23/1993
82003,Saeko,Tomescu,Senior Engineer,10/23/2000
82014,Quingbo,Ariola,Senior Engineer,7/8/1996
82024,Yongqiao,Grospietsch,Senior Engineer,11/4/1991
82027,Henk,Ellozy,Senior Staff,11/7/1994
82040,Avishai,Velasco,Senior Engineer,1/10/1997
82045,Tse,Bolsens,Senior Engineer,7/31/1993
82052,Lidong,Rahier,Senior Staff,7/12/1996
82059,Satosi,Ecklund,Senior Staff,6/24/1994
82060,Arvind,Michaeli,Engineer,2/3/1998
82063,Shaunak,Plump,Engineer,9/6/1998
82065,Christophe,Anger,Senior Engineer,6/26/1988
82066,Masasuke,Birch,Senior Staff,1/17/1996
82107,Gunilla,Heping,Senior Staff,4/2/2000
82110,Vugranam,Gecsel,Senior Staff,11/10/1995
82116,Chiradeep,Shiratori,Senior Engineer,9/18/1994
82123,Tokuyasu,Dayana,Senior Engineer,9/24/1987
82131,Mayuko,Kulisch,Senior Staff,7/30/1995
82137,Panayotis,Thibadeau,Senior Staff,3/17/1991
82139,Satoru,Zucker,Senior Engineer,12/17/1992
82144,Marek,Dusink,Senior Staff,5/11/1990
82145,Zhongwei,Pagter,Staff,12/13/1999
82151,Keiichiro,Terekhov,Senior Staff,5/15/2000
82162,Shigeo,Kroft,Senior Engineer,6/6/1993
82187,Stevo,Marakhovsky,Senior Staff,4/13/1993
82194,Geoff,Eastman,Senior Engineer,5/25/1991
82206,Yishay,Majewski,Senior Engineer,11/29/2001
82211,Sugwoo,Melter,Senior Engineer,9/18/1988
82222,Sampalli,Luit,Senior Engineer,6/13/1998
82227,Xiaocheng,Sethi,Senior Engineer,4/26/1999
82234,Christoper,Woycyznski,Senior Engineer,8/19/1993
82237,Shen,Zaccaria,Senior Staff,3/14/1995
82252,Kwangyoen,Edelhoff,Senior Engineer,10/31/2000
82255,Amabile,Sudbeck,Senior Staff,4/30/1993
82257,Hugo,Linares,Engineer,4/14/1998
82263,Vishv,Haumacher,Staff,7/3/1996
82276,Frederique,Genin,Senior Staff,1/6/1997
82278,Tomokazu,Murillo,Senior Staff,1/15/1986
82295,Manohar,Parfitt,Engineer,1/20/2000
82305,Mahmut,Biros,Senior Engineer,1/18/1997
82309,Hideyuki,Ramsak,Senior Staff,1/19/1995
82310,Jinxi,Panangaden,Senior Engineer,2/21/1990
82318,Branimir,Hashii,Senior Staff,3/20/1994
82324,Ashish,Knightly,Staff,3/16/1997
82339,Jeanna,Schrift,Senior Engineer,1/15/1988
82349,Tsz,Birjandi,Senior Staff,8/17/1996
82350,Nahla,Stifter,Senior Engineer,7/19/1995
82354,Badri,Trogemann,Senior Staff,9/5/1999
82367,Miyeon,Halloran,Staff,10/28/1997
82371,Frederique,Erev,Senior Staff,5/17/1986
82379,Sanjai,Bala,Senior Engineer,3/15/1994
82385,Sanjai,Biran,Staff,11/18/1998
82388,Munehiko,Zucker,Senior Engineer,4/17/2000
82391,Mayuko,McAffer,Senior Staff,12/20/1995
82397,Mart,Peris,Senior Staff,4/11/1994
82419,Karoline,Rindone,Senior Engineer,7/5/1996
82422,Tesuya,Falby,Senior Staff,3/19/1994
82434,Bojan,Mullainathan,Senior Engineer,8/14/2001
82443,Vincent,Perry,Senior Engineer,2/14/1994
82457,Vidar,Pauthner,Senior Engineer,4/13/1996
82460,Claude,Zhang,Senior Engineer,5/9/1992
82478,Vishwani,Ginneken,Senior Engineer,3/19/1991
82491,Lalit,Lorho,Engineer,5/20/1999
82495,Jahangir,Perly,Staff,8/4/1999
82530,Ioana,Morton,Senior Staff,5/6/1999
82540,Aleksander,Bratten,Senior Engineer,11/14/2000
82544,Eberhardt,Keirsey,Senior Staff,4/5/1997
82553,Barry,Georgakopoulos,Staff,3/25/1996
82555,Fabrizio,Kavraki,Senior Engineer,4/14/1995
82557,Cheong,McClure,Technique Leader,8/17/1996
82566,Mary,Portugali,Senior Engineer,3/3/2000
82568,Giri,Flanders,Senior Staff,5/8/1993
82571,Padma,Argence,Senior Engineer,4/1/1998
82572,Moie,Brattka,Senior Staff,4/1/1993
82573,Genevieve,Berendt,Staff,5/19/1998
82585,Berry,Bodoff,Senior Staff,6/28/1991
82591,Ugo,Lampe,Senior Engineer,8/7/1993
82595,Valdiodio,Zeleznik,Senior Staff,6/2/2000
82598,Palash,Chenoweth,Senior Engineer,5/25/1992
82601,Munehiko,Nitto,Senior Engineer,8/18/1996
82626,Adit,Reeken,Senior Engineer,11/1/1997
82634,Volkmar,Plesums,Technique Leader,1/27/1986
82644,Kellyn,Pleszkun,Senior Engineer,8/23/1999
82646,Shugo,Plump,Senior Engineer,5/3/1999
82668,Feipei,Menhardt,Senior Staff,5/23/1986
82678,Poorav,Haldar,Senior Engineer,6/21/1997
82683,Pantung,Dayang,Senior Staff,3/19/2002
82689,Zijian,Crouzet,Senior Engineer,12/26/1995
82704,Marla,Lunn,Senior Engineer,1/14/1994
82705,Ingmar,Ladret,Senior Staff,6/16/1993
82708,Rajmohan,Basagni,Senior Staff,3/8/1993
